Anaheim Ducks,ANA,0,0,0,51,24,7,0
Boston Bruins,BOS,0,0,0,41,27,14,0
Buffalo Sabres,BUF,0,0,0,23,51,8,0
Calgary Flames,CGY,0,0,0,45,30,7,0
Carolina Hurricanes,CAR,0,0,0,30,41,11,0
Chicago Blackhawks,CHI,0,0,0,48,28,6,0
Colorado Avalanche,COL,0,0,0,39,31,12,0
Columbus Blue Jackets,CBJ,0,0,0,42,35,5,0
Dallas Stars,DAL,0,0,0,41,31,10,0
Detroit Red Wings,DET,0,0,0,43,25,14,0
Edmonton Oilers,EDM,0,0,0,24,44,14,0
Florida Panthers,FLA,0,0,0,38,29,15,0
Los Angeles Kings,LAK,0,0,0,40,27,15,0
Minnesota Wild,MIN,0,0,0,46,28,8,0
Montreal Canadiens,MTL,0,0,0,50,22,10,0
Nashville Predators,NAS,0,0,0,47,25,10,0
New Jersey Devils,NJD,0,0,0,32,36,14,0
New York Islanders,NYI,0,0,0,47,28,7,0
New York Rangers,NYR,0,0,0,53,22,7,0
Ottawa Senators,OTT,0,0,0,43,26,13,0
Philadelphia Flyers,PHI,0,0,0,33,31,18,0
Arizona Coyotes,ARZ,0,0,0,24,50,8,0
Pittsburgh Penguins,PIT,0,0,0,43,27,12,0
San Jose Sharks,SJ,0,0,0,40,33,9,0
Saint Louis Blues,STL,0,0,0,51,24,7,0
Tampa Bay Lightning,TBL,0,0,0,50,24,8,0
Toronto Maple Leafs,TOR,0,0,0,30,44,8,0
Vancouver Canucks,VAN,0,0,0,48,29,5,0
Washington Capitals,WSH,0,0,0,45,26,11,0
Winnipeg Jets,WPG,0,0,0,43,26,13,0
